SchemaName,Type,SourceEntity,TargetEntity,SourceAttribute,TargetAttribute
msdyn_bookableresourcecategory_bookableresourcebooking_resourcecategoryid,OneToMany,bookableresourcecategory,bookableresourcebooking,bookableresourcecategoryid,msdyn_resourcecategoryid
msdyn_bookableresourcecategory_bookableresourcebookingheader_resourcecategoryid,OneToMany,bookableresourcecategory,bookableresourcebookingheader,bookableresourcecategoryid,msdyn_resourcecategoryid
msdyn_bookableresourcecategory_msdyn_projectparameter_projectmanagerrole,OneToMany,bookableresourcecategory,msdyn_projectparameter,bookableresourcecategoryid,msdyn_projectmanagerrole
msdyn_bookableresourcecategory_msdyn_projectparameter_teammemberrole,OneToMany,bookableresourcecategory,msdyn_projectparameter,bookableresourcecategoryid,msdyn_teammemberrole
msdyn_bookableresourcecategory_msdyn_rolecompetencyrequirement_resourcecategory,OneToMany,bookableresourcecategory,msdyn_rolecompetencyrequirement,bookableresourcecategoryid,msdyn_resourcecategory
msdyn_bookableresourcecategory_msdyn_projectteam_resourcecategory,OneToMany,bookableresourcecategory,msdyn_projectteam,bookableresourcecategoryid,msdyn_resourcecategory
msdyn_bookableresourcecategory_msdyn_resourcerequest_roleid,OneToMany,bookableresourcecategory,msdyn_resourcerequest,bookableresourcecategoryid,msdyn_roleid
msdyn_bookableresourcecategory_resourcerequirement,OneToMany,bookableresourcecategory,msdyn_resourcerequirement,bookableresourcecategoryid,msdyn_roleid
msdyn_bookableresourcecategory_aspn_aspentask_resourcecategory,OneToMany,bookableresourcecategory,aspn_aspentask,bookableresourcecategoryid,msdyn_resourcecategory
msdyn_bookableresourcecategory_msdyn_projecttask_resourcecategory,OneToMany,bookableresourcecategory,msdyn_projecttask,bookableresourcecategoryid,msdyn_resourcecategory
bookableresourcecategory_DeletedItemReferences,OneToMany,bookableresourcecategory,deleteditemreference,bookableresourcecategoryid,deletedobject
bookableresourcecategoryassn_Annotations,OneToMany,bookableresourcecategoryassn,annotation,bookableresourcecategoryassnid,objectid
bookableresourcecategoryassn_DeletedItemReferences,OneToMany,bookableresourcecategoryassn,deleteditemreference,bookableresourcecategoryassnid,deletedobject
bookableresourcecharacteristic_Annotations,OneToMany,bookableresourcecharacteristic,annotation,bookableresourcecharacteristicid,objectid
msdyn_bookableresourcecharacteristic_bookableresourcecharacteristic_supportingrecord,OneToMany,bookableresourcecharacteristic,bookableresourcecharacteristic,bookableresourcecharacteristicid,msdyn_supportingrecord
bookableresourcecharacteristic_DeletedItemReferences,OneToMany,bookableresourcecharacteristic,deleteditemreference,bookableresourcecharacteristicid,deletedobject
bookableresourcegroup_Annotations,OneToMany,bookableresourcegroup,annotation,bookableresourcegroupid,objectid
bookableresourcegroup_DeletedItemReferences,OneToMany,bookableresourcegroup,deleteditemreference,bookableresourcegroupid,deletedobject
bookingstatus_bookableresourcebooking_BookingStatus,OneToMany,bookingstatus,bookableresourcebooking,bookingstatusid,bookingstatus
msdyn_bookingstatus_msdyn_bookingsetupmetadata_DefaultBookingCanceledStatus,OneToMany,bookingstatus,msdyn_bookingsetupmetadata,bookingstatusid,msdyn_defaultbookingcanceledstatus
msdyn_bookingstatus_msdyn_bookingsetupmetadata_DefaultBookingCommittedStatus,OneToMany,bookingstatus,msdyn_bookingsetupmetadata,bookingstatusid,msdyn_defaultbookingcommittedstatus
msdyn_bookingstatus_bookableresourcebookingheader_bookingstatusid,OneToMany,bookingstatus,bookableresourcebookingheader,bookingstatusid,msdyn_bookingstatusid
bookingstatus_DeletedItemReferences,OneToMany,bookingstatus,deleteditemreference,bookingstatusid,deletedobject
botcomponent_parent_bot,OneToMany,bot,botcomponent,botid,parentbotid
bot_conversationtranscript,OneToMany,bot,conversationtranscript,botid,bot_conversationtranscriptid
Comment_Artifact_Bot,OneToMany,bot,comment,botid,parent
bot_appelement_objectid,OneToMany,bot,appelement,botid,objectid
botcomponent_parent_botcomponent,OneToMany,botcomponent,botcomponent,botcomponentid,parentbotcomponentid
Comment_Artifact_BotComponent,OneToMany,botcomponent,comment,botcomponentid,parent
botcomponent_parent_botcomponentcollection,OneToMany,botcomponentcollection,botcomponent,botcomponentcollectionid,parentbotcomponentcollectionid
bp_defaultapplication_DeletedItemReferences,OneToMany,bp_defaultapplication,deleteditemreference,bp_defaultapplicationid,deletedobject
bp_permit_DeletedItemReferences,OneToMany,bp_permit,deleteditemreference,bp_permitid,deletedobject
bp_permitsteps_DeletedItemReferences,OneToMany,bp_permitsteps,deleteditemreference,bp_permitstepsid,deletedobject
bulkarchiveconfig_bulkarchiveoperation_BulkArchiveConfigId,OneToMany,bulkarchiveconfig,bulkarchiveoperation,bulkarchiveconfigid,bulkarchiveconfigid
bulkarchivefailuredetail_DeletedItemReferences,OneToMany,bulkarchivefailuredetail,deleteditemreference,bulkarchivefailuredetailid,deletedobject
bulkarchiveoperation_DeletedItemReferences,OneToMany,bulkarchiveoperation,deleteditemreference,bulkarchiveoperationid,deletedobject
bulkarchiveoperation_bulkarchiveoperationdetail_BulkArchiveOperationId,OneToMany,bulkarchiveoperation,bulkarchiveoperationdetail,bulkarchiveoperationid,bulkarchiveoperationid
bulkarchiveoperationdetail_DeletedItemReferences,OneToMany,bulkarchiveoperationdetail,deleteditemreference,bulkarchiveoperationdetailid,deletedobject
msdyn_businessprocess_msdyn_pminferredtask_msdyn_businessprocessid,OneToMany,businessprocess,msdyn_pminferredtask,businessprocessid,msdyn_businessprocessid
businessprocesslinkedartifact_businessprocess_businessprocess,OneToMany,businessprocess,businessprocesslinkedartifact,businessprocessid,businessprocess
businessunitnewsarticle_DeletedItemReferences,OneToMany,businessunitnewsarticle,deleteditemreference,businessunitnewsarticleid,deletedobject
canvasapp_appelement_canvasappid,OneToMany,canvasapp,appelement,canvasappid,canvasappid
canvasappextendedmetadata,OneToMany,canvasapp,canvasappextendedmetadata,canvasappid,canvasappid
Comment_Artifact_CanvasApp,OneToMany,canvasapp,comment,canvasappid,parent
canvasapp_msdyn_mobileapp_msdyn_primaryPublishedAppName,OneToMany,canvasapp,msdyn_mobileapp,canvasappid,msdyn_primarypublishedappname
canvasapp_appaction_onclickeventformulacomponentlibraryid,OneToMany,canvasapp,appaction,canvasappid,onclickeventformulacomponentlibraryid
canvasapp_appaction_visibilityformulacomponentlibraryid,OneToMany,canvasapp,appaction,canvasappid,visibilityformulacomponentlibraryid
canvasappextendedmetadata_DeletedItemReferences,OneToMany,canvasappextendedmetadata,deleteditemreference,canvasappextendedmetadataid,deletedobject
msdyn_formmapping_cardid,OneToMany,card,msdyn_formmapping,cardid,cardid
cardtype_actioncard,OneToMany,cardtype,actioncard,cardtypeid,cardtypeid
cardtype_actioncardusersettings,OneToMany,cardtype,actioncardusersettings,cardtypeid,cardtypeid
cardtype_DeletedItemReferences,OneToMany,cardtype,deleteditemreference,cardtypeid,deletedobject
SyncTrackerIdLookup,OneToMany,cascadegrantrevokeaccessversiontracker,cascadegrantrevokeaccessrecordstracker,cascadegrantrevokeaccessversiontrackerid,synctrackerid
catalog_catalogassignment,OneToMany,catalog,catalogassignment,catalogid,catalogid
parentcatalog_catalog,OneToMany,catalog,catalog,catalogid,parentcatalogid
catalog_internalcatalogassignment,OneToMany,catalog,internalcatalogassignment,catalogid,catalogid
category_parent_category,OneToMany,category,category,categoryid,parentcategoryid
category_DeletedItemReferences,OneToMany,category,deleteditemreference,categoryid,deletedobject
certificatecredential_DeletedItemReferences,OneToMany,certificatecredential,deleteditemreference,certificatecredentialid,deletedobject
profileruleitem_Annotations,OneToMany,channelaccessprofileruleitem,annotation,channelaccessprofileruleid,objectid
ChannelPropertyGroup_ChannelProperty,OneToMany,channelpropertygroup,channelproperty,channelpropertygroupid,regardingobjectid
channelpropertygroup_convertrule,OneToMany,channelpropertygroup,convertrule,channelpropertygroupid,channelpropertygroupid
characteristic_bookableresourcecharacteristic_Characteristic,OneToMany,characteristic,bookableresourcecharacteristic,characteristicid,characteristic
