LogicalName,Label,SchemaName,EntitySetName,IsCustomEntity,IsActivity,PrimaryIdAttribute,PrimaryNameAttribute,Description
metadataforarchival,MetadataForArchival,MetadataForArchival,metadataforarchivals,True,False,metadataforarchivalid,name,Holds  metadata values of tables for retention
metric,Goal Metric,Metric,metrics,False,False,metricid,name,"Type of measurement for a goal, such as money amount or count."
mobileofflineprofile,Mobile Offline Profile,MobileOfflineProfile,mobileofflineprofiles,False,False,mobileofflineprofileid,name,Information to administer and manage the data available to mobile devices in offline mode.
mobileofflineprofileextension,MobileOfflineProfileExtension,mobileofflineprofileextension,mobileofflineprofileextensions,True,False,mobileofflineprofileextensionid,name,
mobileofflineprofileitem,Mobile Offline Profile Item,MobileOfflineProfileItem,mobileofflineprofileitems,False,False,mobileofflineprofileitemid,name,Information on entity availability to mobile devices in offline mode for a mobile offline profile item.
mobileofflineprofileitemassociation,Mobile Offline Profile Item Association,MobileOfflineProfileItemAssociation,mobileofflineprofileitemassociations,False,False,mobileofflineprofileitemassociationid,name,Information on relationships to be used to follow related entity's records for mobile offline profile item.
mobileofflineprofileitemfilter,MobileOfflineProfileItemFilter,mobileofflineprofileitemfilter,mobileofflineprofileitemfilters,True,False,mobileofflineprofileitemfilterid,name,
monthlyfiscalcalendar,Monthly Fiscal Calendar,MonthlyFiscalCalendar,monthlyfiscalcalendars,False,False,userfiscalcalendarid,,Monthly fiscal calendar of an organization. A span of time during which the financial activities of an organization are calculated.
msdyn_aibdataset,AI Builder Dataset,msdyn_AIBDataset,msdyn_aibdatasets,True,False,msdyn_aibdatasetid,msdyn_name,
msdyn_aibdatasetfile,AI Builder Dataset File,msdyn_AIBDatasetFile,msdyn_aibdatasetfiles,True,False,msdyn_aibdatasetfileid,msdyn_name,
msdyn_aibdatasetrecord,AI Builder Dataset Record,msdyn_AIBDatasetRecord,msdyn_aibdatasetrecords,True,False,msdyn_aibdatasetrecordid,msdyn_name,
msdyn_aibdatasetscontainer,AI Builder Datasets Container,msdyn_AIBDatasetsContainer,msdyn_aibdatasetscontainers,True,False,msdyn_aibdatasetscontainerid,msdyn_name,
msdyn_aibfeedbackloop,AI Builder Feedback Loop,msdyn_AIBFeedbackLoop,msdyn_aibfeedbackloops,True,False,msdyn_aibfeedbackloopid,msdyn_name,
msdyn_aibfile,AI Builder File,msdyn_AIBFile,msdyn_aibfiles,True,False,msdyn_aibfileid,msdyn_name,
msdyn_aibfileattacheddata,AI Builder File Attached Data,msdyn_AIBFileAttachedData,msdyn_aibfileattacheddatas,True,False,msdyn_aibfileattacheddataid,msdyn_key,
msdyn_aiconfiguration,AI Configuration,msdyn_AIConfiguration,msdyn_aiconfigurations,True,False,msdyn_aiconfigurationid,msdyn_name,
msdyn_aiconfiguration_documenttemplate,msdyn_aiconfiguration_documenttemplate,msdyn_aiconfiguration_documenttemplate,msdyn_aiconfiguration_documenttemplateset,True,False,msdyn_aiconfiguration_documenttemplateid,,
msdyn_aidataprocessingevent,Data Processing Event,msdyn_AIDataProcessingEvent,msdyn_aidataprocessingevents,True,False,msdyn_aidataprocessingeventid,msdyn_name,Events that are triggered by Data Processing.
msdyn_aidocumenttemplate,AI Document Template,msdyn_aidocumenttemplate,msdyn_aidocumenttemplates,True,False,msdyn_aidocumenttemplateid,msdyn_filename,Used to store Document templates
msdyn_aievaluationconfiguration,AI Evaluation Configuration,msdyn_AIEvaluationConfiguration,msdyn_aievaluationconfigurations,True,False,msdyn_aievaluationconfigurationid,msdyn_name,
msdyn_aievaluationmetric,AI Evaluation Metric,msdyn_AIEvaluationMetric,msdyn_aievaluationmetrics,True,False,msdyn_aievaluationmetricid,msdyn_aiobjectid,
msdyn_aievaluationrun,AI Evaluation Run,msdyn_AIEvaluationRun,msdyn_aievaluationruns,True,False,msdyn_aievaluationrunid,msdyn_name,
msdyn_aievent,AI Event,msdyn_AIEvent,msdyn_aievents,True,False,msdyn_aieventid,msdyn_name,
msdyn_aifptrainingdocument,AI Form Processing Document,msdyn_AIFpTrainingDocument,msdyn_aifptrainingdocuments,True,False,msdyn_aifptrainingdocumentid,msdyn_name,
msdyn_aimodel,AI Model,msdyn_AIModel,msdyn_aimodels,True,False,msdyn_aimodelid,msdyn_name,
msdyn_aimodelcatalog,AI Model Catalog,msdyn_AIModelCatalog,msdyn_aimodelcatalogs,True,False,msdyn_aimodelcatalogid,msdyn_name,This table contains records of AI Model Catalogs used for BYOM
msdyn_aiodimage,AI Object Detection Image,msdyn_AIOdImage,msdyn_aiodimages,True,False,msdyn_aiodimageid,msdyn_name,
msdyn_aiodlabel,AI Object Detection Label,msdyn_AIOdLabel,msdyn_aiodlabels,True,False,msdyn_aiodlabelid,msdyn_name,
msdyn_aiodlabel_msdyn_aiconfiguration,msdyn_aiodlabel_msdyn_aiconfiguration,msdyn_aiodlabel_msdyn_aiconfiguration,msdyn_aiodlabel_msdyn_aiconfigurationset,True,False,msdyn_aiodlabel_msdyn_aiconfigurationid,,
msdyn_aiodtrainingboundingbox,AI Object Detection Bounding Box,msdyn_AIOdTrainingBoundingBox,msdyn_aiodtrainingboundingboxes,True,False,msdyn_aiodtrainingboundingboxid,msdyn_name,
msdyn_aiodtrainingimage,AI Object Detection Image Mapping,msdyn_AIOdTrainingImage,msdyn_aiodtrainingimages,True,False,msdyn_aiodtrainingimageid,msdyn_name,
msdyn_aioptimization,AI Optimization,msdyn_AIOptimization,msdyn_aioptimizations,True,False,msdyn_aioptimizationid,msdyn_aiobjectid,
msdyn_aioptimizationprivatedata,AI Optimization Private Data,msdyn_AIOptimizationPrivateData,msdyn_aioptimizationprivatedatas,True,False,msdyn_aioptimizationprivatedataid,msdyn_name,
msdyn_aitemplate,AI Template,msdyn_AITemplate,msdyn_aitemplates,True,False,msdyn_aitemplateid,msdyn_uniquename,
msdyn_aitestcase,AI Test Case,msdyn_AITestCase,msdyn_aitestcases,True,False,msdyn_aitestcaseid,msdyn_name,
msdyn_aitestcasedocument,AI Test Case Document,msdyn_AITestCaseDocument,msdyn_aitestcasedocuments,True,False,msdyn_aitestcasedocumentid,msdyn_name,
msdyn_aitestcaseinput,AI Test Case Input,msdyn_AITestCaseInput,msdyn_aitestcaseinputs,True,False,msdyn_aitestcaseinputid,msdyn_name,
msdyn_aitestrun,AI Test Run,msdyn_AITestRun,msdyn_aitestruns,True,False,msdyn_aitestrunid,msdyn_name,
msdyn_aitestrunbatch,AI Test Run Batch,msdyn_AITestRunBatch,msdyn_aitestrunbatches,True,False,msdyn_aitestrunbatchid,msdyn_name,
msdyn_analysiscomponent,Analysis Component,msdyn_analysiscomponent,msdyn_analysiscomponents,True,False,msdyn_analysiscomponentid,msdyn_name,
msdyn_analysisjob,Analysis Job,msdyn_analysisjob,msdyn_analysisjobs,True,False,msdyn_analysisjobid,msdyn_name,
msdyn_analysisoverride,Analysis Override,msdyn_analysisoverride,msdyn_analysisoverrides,True,False,msdyn_analysisoverrideid,msdyn_rule,
msdyn_analysisresult,Analysis Result,msdyn_analysisresult,msdyn_analysisresults,True,False,msdyn_analysisresultid,msdyn_name,
msdyn_analysisresultdetail,Analysis Result Detail,msdyn_analysisresultdetail,msdyn_analysisresultdetails,True,False,msdyn_analysisresultdetailid,msdyn_name,
msdyn_appinsightsmetadata,App Insights Metadata,msdyn_appinsightsmetadata,msdyn_appinsightsmetadatas,True,False,msdyn_appinsightsmetadataid,name,Metadata for App Insights Platform components
msdyn_bookableresourceassociation,Bookable Resource Association,msdyn_bookableresourceassociation,msdyn_bookableresourceassociations,True,False,msdyn_bookableresourceassociationid,msdyn_name,
msdyn_bookingalert,Booking Alert,msdyn_bookingalert,msdyn_bookingalerts,True,True,activityid,subject,Alerts that notify schedule board users of booking issues or information.
msdyn_bookingalertstatus,Booking Alert Status,msdyn_bookingalertstatus,msdyn_bookingalertstatuses,True,False,msdyn_bookingalertstatusid,msdyn_name,The status of a booking alert.
msdyn_bookingchange,Booking Change,msdyn_bookingchange,msdyn_bookingchanges,True,False,msdyn_bookingchangeid,msdyn_name,An internal entity used to track changes that affect the schedule board.
msdyn_bookingrule,Booking Rule,msdyn_bookingrule,msdyn_bookingrules,True,False,msdyn_bookingruleid,msdyn_name,Specify custom rules to be validated by the system before saving a booking record.
msdyn_bookingsetupmetadata,Booking Setup Metadata,msdyn_bookingsetupmetadata,msdyn_bookingsetupmetadatas,True,False,msdyn_bookingsetupmetadataid,msdyn_entitylogicalname,
msdyn_businessclosure,Business Closure,msdyn_businessclosure,msdyn_businessclosures,True,False,msdyn_businessclosureid,msdyn_name,
msdyn_clientextension,Client Extension,msdyn_clientextension,msdyn_clientextensions,True,False,msdyn_clientextensionid,msdyn_name,
msdyn_componentlayer,Component Layer,msdyn_componentlayer,msdyn_componentlayers,True,False,msdyn_componentlayerid,msdyn_name,
msdyn_componentlayerdatasource,Component Layer Data Source,msdyn_componentlayerdatasource,msdyn_componentlayerdatasources,True,False,msdyn_componentlayerdatasourceid,msdyn_name,
msdyn_configuration,Configuration,msdyn_Configuration,msdyn_configurations,True,False,msdyn_configurationid,msdyn_name,This entity is used to store queries and templates.
